ZIP,TRACT,USPS_ZIP_PREF_STATE,USPS_ZIP_PREF_CITY
19101,42101036902,PA,PHILADELPHIA
19102,42101001101,PA,PHILADELPHIA
19102,42101000806,PA,PHILADELPHIA
19102,42101001204,PA,PHILADELPHIA
19102,42101000300,PA,PHILADELPHIA
19102,42101000701,PA,PHILADELPHIA
19102,42101000901,PA,PHILADELPHIA
19102,42101000805,PA,PHILADELPHIA
19102,42101000403,PA,PHILADELPHIA
19102,42101000600,PA,PHILADELPHIA
19102,42101012501,PA,PHILADELPHIA
19103,42101000403,PA,PHILADELPHIA
19103,42101000805,PA,PHILADELPHIA
19103,42101000801,PA,PHILADELPHIA
19103,42101000803,PA,PHILADELPHIA
19103,42101000401,PA,PHILADELPHIA
19103,42101012502,PA,PHILADELPHIA
19103,42101000404,PA,PHILADELPHIA
19103,42101001201,PA,PHILADELPHIA
19103,42101001204,PA,PHILADELPHIA
19103,42101000702,PA,PHILADELPHIA
19103,42101001203,PA,PHILADELPHIA
19103,42101000300,PA,PHILADELPHIA
19103,42101000701,PA,PHILADELPHIA
19103,42101012501,PA,PHILADELPHIA
19104,42101010900,PA,PHILADELPHIA
19104,42101009000,PA,PHILADELPHIA
19104,42101036902,PA,PHILADELPHIA
19104,42101008601,PA,PHILADELPHIA
19104,42101980002,PA,PHILADELPHIA
19104,42101009200,PA,PHILADELPHIA
19104,42101008702,PA,PHILADELPHIA
19104,42101007800,PA,PHILADELPHIA
19104,42101008801,PA,PHILADELPHIA
19104,42101007700,PA,PHILADELPHIA
19104,42101010600,PA,PHILADELPHIA
19104,42101009100,PA,PHILADELPHIA
19104,42101009400,PA,PHILADELPHIA
19104,42101980003,PA,PHILADELPHIA
19104,42101010500,PA,PHILADELPHIA
19104,42101010700,PA,PHILADELPHIA
19104,42101008602,PA,PHILADELPHIA
19104,42101011000,PA,PHILADELPHIA
19104,42101007900,PA,PHILADELPHIA
19104,42101036901,PA,PHILADELPHIA
19104,42101008802,PA,PHILADELPHIA
19104,42101008701,PA,PHILADELPHIA
19104,42101010800,PA,PHILADELPHIA
19104,42101011100,PA,PHILADELPHIA
19105,42101000500,PA,PHILADELPHIA
19106,42101001001,PA,PHILADELPHIA
19106,42101000101,PA,PHILADELPHIA
19106,42101036700,PA,PHILADELPHIA
19106,42101001102,PA,PHILADELPHIA
19106,42101000102,PA,PHILADELPHIA
19106,42101000500,PA,PHILADELPHIA
19106,42101000902,PA,PHILADELPHIA
19106,42101036600,PA,PHILADELPHIA
19106,42101000200,PA,PHILADELPHIA
19106,42101000600,PA,PHILADELPHIA
19106,42101001002,PA,PHILADELPHIA
19107,42101000901,PA,PHILADELPHIA
19107,42101000200,PA,PHILADELPHIA
19107,42101037600,PA,PHILADELPHIA
19107,42101000600,PA,PHILADELPHIA
19107,42101000500,PA,PHILADELPHIA
19107,42101001102,PA,PHILADELPHIA
19107,42101001101,PA,PHILADELPHIA
19107,42101000902,PA,PHILADELPHIA
19108,42101037600,PA,PHILADELPHIA
19109,42101000600,PA,PHILADELPHIA
19110,42101000600,PA,PHILADELPHIA
19111,42101033800,PA,PHILADELPHIA
19111,42101039001,PA,PHILADELPHIA
19111,42101034100,PA,PHILADELPHIA
19111,42101030501,PA,PHILADELPHIA
19111,42101033600,PA,PHILADELPHIA
19111,42101030900,PA,PHILADELPHIA
19111,42101031000,PA,PHILADELPHIA
19111,42101030800,PA,PHILADELPHIA
19111,42101030700,PA,PHILADELPHIA
19111,42101034000,PA,PHILADELPHIA
19111,42101031102,PA,PHILADELPHIA
19111,42101030502,PA,PHILADELPHIA
19111,42101031101,PA,PHILADELPHIA
19111,42101034200,PA,PHILADELPHIA
19111,42101030600,PA,PHILADELPHIA
19111,42101033900,PA,PHILADELPHIA
19111,42101033500,PA,PHILADELPHIA
19111,42101980200,PA,PHILADELPHIA
19111,42101033702,PA,PHILADELPHIA
19112,42101003002,PA,PHILADELPHIA
19112,42101037300,PA,PHILADELPHIA
19112,42101036600,PA,PHILADELPHIA
19112,42101989200,PA,PHILADELPHIA
19113,42045403701,PA,PHILADELPHIA
19114,42101980300,PA,PHILADELPHIA
19114,42101035200,PA,PHILADELPHIA
19114,42101034600,PA,PHILADELPHIA
19114,42101034900,PA,PHILADELPHIA
19114,42101036202,PA,PHILADELPHIA
19114,42101034802,PA,PHILADELPHIA
19114,42101036201,PA,PHILADELPHIA
19114,42101034803,PA,PHILADELPHIA
19114,42101035302,PA,PHILADELPHIA
19114,42101035301,PA,PHILADELPHIA
19114,42101034801,PA,PHILADELPHIA
19114,42101035100,PA,PHILADELPHIA
19114,42101036203,PA,PHILADELPHIA
19115,42101034200,PA,PHILADELPHIA
19115,42101036000,PA,PHILADELPHIA
19115,42101980200,PA,PHILADELPHIA
19115,42101035601,PA,PHILADELPHIA
19115,42101035701,PA,PHILADELPHIA
19115,42101035602,PA,PHILADELPHIA
19115,42091201501,PA,PHILADELPHIA
19115,42101035500,PA,PHILADELPHIA
19115,42101035702,PA,PHILADELPHIA
19115,42101034501,PA,PHILADELPHIA
19115,42101034502,PA,PHILADELPHIA
19115,42101034400,PA,PHILADELPHIA
19116,42101036000,PA,PHILADELPHIA
19116,42101035800,PA,PHILADELPHIA
19116,42101035900,PA,PHILADELPHIA
19116,42017101401,PA,PHILADELPHIA
19116,42101036502,PA,PHILADELPHIA
19116,42101035701,PA,PHILADELPHIA
19116,42101035702,PA,PHILADELPHIA
19116,42101036501,PA,PHILADELPHIA
19116,42101036400,PA,PHILADELPHIA
19118,42101038800,PA,PHILADELPHIA
19118,42101025700,PA,PHILADELPHIA
19118,42091210400,PA,PHILADELPHIA
19118,42091210300,PA,PHILADELPHIA
19118,42101980100,PA,PHILADELPHIA
19118,42101025600,PA,PHILADELPHIA
19118,42101038600,PA,PHILADELPHIA
19118,42101038700,PA,PHILADELPHIA
19118,42101038400,PA,PHILADELPHIA
19118,42101023100,PA,PHILADELPHIA
19118,42101038500,PA,PHILADELPHIA
19119,42101025500,PA,PHILADELPHIA
19119,42101038800,PA,PHILADELPHIA
19119,42101023600,PA,PHILADELPHIA
19119,42101980100,PA,PHILADELPHIA
19119,42101025400,PA,PHILADELPHIA
19119,42101025200,PA,PHILADELPHIA
19119,42101038900,PA,PHILADELPHIA
19119,42101025300,PA,PHILADELPHIA
19119,42101025600,PA,PHILADELPHIA
19119,42101023700,PA,PHILADELPHIA
19119,42101038600,PA,PHILADELPHIA
19119,42101023500,PA,PHILADELPHIA
19120,42101028901,PA,PHILADELPHIA
19120,42101029100,PA,PHILADELPHIA
19120,42101027402,PA,PHILADELPHIA
19120,42101027401,PA,PHILADELPHIA
19120,42101027100,PA,PHILADELPHIA
19120,42101989300,PA,PHILADELPHIA
19120,42101027000,PA,PHILADELPHIA
19120,42101028800,PA,PHILADELPHIA
19120,42101030502,PA,PHILADELPHIA
19120,42101027300,PA,PHILADELPHIA
19120,42101028500,PA,PHILADELPHIA
19120,42101028700,PA,PHILADELPHIA
19120,42101028200,PA,PHILADELPHIA
19120,42101028600,PA,PHILADELPHIA
19120,42101029000,PA,PHILADELPHIA
19120,42101030501,PA,PHILADELPHIA
19120,42101027500,PA,PHILADELPHIA
19120,42101028902,PA,PHILADELPHIA
19120,42101027200,PA,PHILADELPHIA
19120,42101028400,PA,PHILADELPHIA
19121,42101015300,PA,PHILADELPHIA
19121,42101013800,PA,PHILADELPHIA
19121,42101016702,PA,PHILADELPHIA
19121,42101014900,PA,PHILADELPHIA
19121,42101013701,PA,PHILADELPHIA
19121,42101015101,PA,PHILADELPHIA
19121,42101016701,PA,PHILADELPHIA
19121,42101014700,PA,PHILADELPHIA
19121,42101015200,PA,PHILADELPHIA
19121,42101016800,PA,PHILADELPHIA
19121,42101014800,PA,PHILADELPHIA
19121,42101014000,PA,PHILADELPHIA
19121,42101013702,PA,PHILADELPHIA
19121,42101013900,PA,PHILADELPHIA
19121,42101016901,PA,PHILADELPHIA
19121,42101016902,PA,PHILADELPHIA
19121,42101015102,PA,PHILADELPHIA
19121,42101980001,PA,PHILADELPHIA
19121,42101014600,PA,PHILADELPHIA
19122,42101015700,PA,PHILADELPHIA
19122,42101014600,PA,PHILADELPHIA
19122,42101016600,PA,PHILADELPHIA
19122,42101016200,PA,PHILADELPHIA
19122,42101015600,PA,PHILADELPHIA
19122,42101014400,PA,PHILADELPHIA
19122,42101016100,PA,PHILADELPHIA
19122,42101016500,PA,PHILADELPHIA
19122,42101015300,PA,PHILADELPHIA
19122,42101014500,PA,PHILADELPHIA
19122,42101037700,PA,PHILADELPHIA
19122,42101014100,PA,PHILADELPHIA
19123,42101014100,PA,PHILADELPHIA
19123,42101013100,PA,PHILADELPHIA
19123,42101014201,PA,PHILADELPHIA
19123,42101036600,PA,PHILADELPHIA
19123,42101037600,PA,PHILADELPHIA
19123,42101036700,PA,PHILADELPHIA
19123,42101014400,PA,PHILADELPHIA
19123,42101014202,PA,PHILADELPHIA
19123,42101000102,PA,PHILADELPHIA
19123,42101013200,PA,PHILADELPHIA
19124,42101019000,PA,PHILADELPHIA
19124,42101038000,PA,PHILADELPHIA
19124,42101028901,PA,PHILADELPHIA
19124,42101989300,PA,PHILADELPHIA
19124,42101030200,PA,PHILADELPHIA
19124,42101029200,PA,PHILADELPHIA
19124,42101028902,PA,PHILADELPHIA
19124,42101019100,PA,PHILADELPHIA
19124,42101039002,PA,PHILADELPHIA
19124,42101030000,PA,PHILADELPHIA
19124,42101031900,PA,PHILADELPHIA
19124,42101039001,PA,PHILADELPHIA
19124,42101029400,PA,PHILADELPHIA
19124,42101032100,PA,PHILADELPHIA
19124,42101029800,PA,PHILADELPHIA
19124,42101030100,PA,PHILADELPHIA
19124,42101018300,PA,PHILADELPHIA
19124,42101029100,PA,PHILADELPHIA
19124,42101029900,PA,PHILADELPHIA
19124,42101031800,PA,PHILADELPHIA
19124,42101029300,PA,PHILADELPHIA
19124,42101038200,PA,PHILADELPHIA
19125,42101017900,PA,PHILADELPHIA
19125,42101014300,PA,PHILADELPHIA
19125,42101018001,PA,PHILADELPHIA
19125,42101015700,PA,PHILADELPHIA
19125,42101015800,PA,PHILADELPHIA
19125,42101016001,PA,PHILADELPHIA
19125,42101037800,PA,PHILADELPHIA
19125,42101016002,PA,PHILADELPHIA
19125,42101017701,PA,PHILADELPHIA
19125,42101014202,PA,PHILADELPHIA
19125,42101017800,PA,PHILADELPHIA
19125,42101017601,PA,PHILADELPHIA
19125,42101017702,PA,PHILADELPHIA
19125,42101014400,PA,PHILADELPHIA
19125,42101016300,PA,PHILADELPHIA
19125,42101016100,PA,PHILADELPHIA
19126,42101026700,PA,PHILADELPHIA
19126,42101027500,PA,PHILADELPHIA
19126,42101026800,PA,PHILADELPHIA
19126,42101027100,PA,PHILADELPHIA
19126,42101027000,PA,PHILADELPHIA
19126,42101026900,PA,PHILADELPHIA
19126,42101026600,PA,PHILADELPHIA
19126,42101027700,PA,PHILADELPHIA
19126,42101027200,PA,PHILADELPHIA
19127,42101021400,PA,PHILADELPHIA
19127,42101020900,PA,PHILADELPHIA
19127,42101021000,PA,PHILADELPHIA
19127,42101021500,PA,PHILADELPHIA
19127,42101021600,PA,PHILADELPHIA
19128,42101021600,PA,PHILADELPHIA
19128,42101980100,PA,PHILADELPHIA
19128,42091210300,PA,PHILADELPHIA
19128,42101021500,PA,PHILADELPHIA
19128,42101021200,PA,PHILADELPHIA
19128,42101021400,PA,PHILADELPHIA
19128,42101021100,PA,PHILADELPHIA
19128,42101021000,PA,PHILADELPHIA
19128,42101020900,PA,PHILADELPHIA
19128,42101021700,PA,PHILADELPHIA
19128,42101038400,PA,PHILADELPHIA
19128,42101021900,PA,PHILADELPHIA
19128,42101021800,PA,PHILADELPHIA
19128,42101022000,PA,PHILADELPHIA
19128,42101021300,PA,PHILADELPHIA
19129,42101980100,PA,PHILADELPHIA
19129,42101017201,PA,PHILADELPHIA
19129,42101017100,PA,PHILADELPHIA
19129,42101020800,PA,PHILADELPHIA
19129,42101020500,PA,PHILADELPHIA
19129,42101020600,PA,PHILADELPHIA
19129,42101017000,PA,PHILADELPHIA
19129,42101020702,PA,PHILADELPHIA
19129,42101020701,PA,PHILADELPHIA
19129,42101020200,PA,PHILADELPHIA
19130,42101013800,PA,PHILADELPHIA
19130,42101012501,PA,PHILADELPHIA
19130,42101013401,PA,PHILADELPHIA
19130,42101014000,PA,PHILADELPHIA
19130,42101012502,PA,PHILADELPHIA
19130,42101037600,PA,PHILADELPHIA
19130,42101013601,PA,PHILADELPHIA
19130,42101980001,PA,PHILADELPHIA
19130,42101013701,PA,PHILADELPHIA
19130,42101013402,PA,PHILADELPHIA
19130,42101013500,PA,PHILADELPHIA
19130,42101013900,PA,PHILADELPHIA
19130,42101013602,PA,PHILADELPHIA
19130,42101013300,PA,PHILADELPHIA
19130,42101013702,PA,PHILADELPHIA
19131,42101012201,PA,PHILADELPHIA
19131,42101009500,PA,PHILADELPHIA
19131,42101011800,PA,PHILADELPHIA
19131,42101011900,PA,PHILADELPHIA
19131,42101012204,PA,PHILADELPHIA
19131,42101012000,PA,PHILADELPHIA
19131,42101011200,PA,PHILADELPHIA
19131,42101018400,PA,PHILADELPHIA
19131,42101010400,PA,PHILADELPHIA
19131,42101010300,PA,PHILADELPHIA
19131,42101011300,PA,PHILADELPHIA
19131,42101980002,PA,PHILADELPHIA
19131,42101010500,PA,PHILADELPHIA
19131,42101011700,PA,PHILADELPHIA
19131,42101011400,PA,PHILADELPHIA
19131,42101037500,PA,PHILADELPHIA
19131,42101012100,PA,PHILADELPHIA
19131,42101012203,PA,PHILADELPHIA
19131,42101010200,PA,PHILADELPHIA
19131,42101011100,PA,PHILADELPHIA
19132,42101015200,PA,PHILADELPHIA
19132,42101016702,PA,PHILADELPHIA
19132,42101016901,PA,PHILADELPHIA
19132,42101020101,PA,PHILADELPHIA
19132,42101980001,PA,PHILADELPHIA
19132,42101016600,PA,PHILADELPHIA
19132,42101016800,PA,PHILADELPHIA
19132,42101017300,PA,PHILADELPHIA
19132,42101020200,PA,PHILADELPHIA
19132,42101017400,PA,PHILADELPHIA
19132,42101017202,PA,PHILADELPHIA
19132,42101017201,PA,PHILADELPHIA
19132,42101016701,PA,PHILADELPHIA
19132,42101017000,PA,PHILADELPHIA
19132,42101016902,PA,PHILADELPHIA
19132,42101020000,PA,PHILADELPHIA
