ZIP,TRACT,USPS_ZIP_PREF_STATE,USPS_ZIP_PREF_CITY
19132,42101017100,PA,PHILADELPHIA
19133,42101016200,PA,PHILADELPHIA
19133,42101019900,PA,PHILADELPHIA
19133,42101016600,PA,PHILADELPHIA
19133,42101017602,PA,PHILADELPHIA
19133,42101016100,PA,PHILADELPHIA
19133,42101017601,PA,PHILADELPHIA
19133,42101019501,PA,PHILADELPHIA
19133,42101020000,PA,PHILADELPHIA
19133,42101016500,PA,PHILADELPHIA
19133,42101016300,PA,PHILADELPHIA
19133,42101017500,PA,PHILADELPHIA
19133,42101016400,PA,PHILADELPHIA
19133,42101017400,PA,PHILADELPHIA
19134,42101018801,PA,PHILADELPHIA
19134,42101037800,PA,PHILADELPHIA
19134,42101017701,PA,PHILADELPHIA
19134,42101018802,PA,PHILADELPHIA
19134,42101017800,PA,PHILADELPHIA
19134,42101019501,PA,PHILADELPHIA
19134,42101018002,PA,PHILADELPHIA
19134,42101019200,PA,PHILADELPHIA
19134,42101019000,PA,PHILADELPHIA
19134,42101017601,PA,PHILADELPHIA
19134,42101989300,PA,PHILADELPHIA
19134,42101017702,PA,PHILADELPHIA
19134,42101019100,PA,PHILADELPHIA
19134,42101038200,PA,PHILADELPHIA
19134,42101037900,PA,PHILADELPHIA
19134,42101019502,PA,PHILADELPHIA
19134,42101017900,PA,PHILADELPHIA
19134,42101018001,PA,PHILADELPHIA
19134,42101017602,PA,PHILADELPHIA
19135,42101031600,PA,PHILADELPHIA
19135,42101032600,PA,PHILADELPHIA
19135,42101031501,PA,PHILADELPHIA
19135,42101038100,PA,PHILADELPHIA
19135,42101032100,PA,PHILADELPHIA
19135,42101033000,PA,PHILADELPHIA
19135,42101032000,PA,PHILADELPHIA
19135,42101032300,PA,PHILADELPHIA
19135,42101031700,PA,PHILADELPHIA
19135,42101031900,PA,PHILADELPHIA
19135,42101032500,PA,PHILADELPHIA
19136,42101038100,PA,PHILADELPHIA
19136,42101032900,PA,PHILADELPHIA
19136,42101033102,PA,PHILADELPHIA
19136,42101033200,PA,PHILADELPHIA
19136,42101033101,PA,PHILADELPHIA
19136,42101989100,PA,PHILADELPHIA
19136,42101034801,PA,PHILADELPHIA
19136,42101980200,PA,PHILADELPHIA
19136,42101031501,PA,PHILADELPHIA
19136,42101034702,PA,PHILADELPHIA
19136,42101034900,PA,PHILADELPHIA
19136,42101033000,PA,PHILADELPHIA
19137,42101029900,PA,PHILADELPHIA
19137,42101038200,PA,PHILADELPHIA
19137,42101029800,PA,PHILADELPHIA
19137,42101018300,PA,PHILADELPHIA
19137,42101018400,PA,PHILADELPHIA
19137,42101038100,PA,PHILADELPHIA
19137,42101037900,PA,PHILADELPHIA
19137,42101038000,PA,PHILADELPHIA
19137,42101037800,PA,PHILADELPHIA
19138,42101026400,PA,PHILADELPHIA
19138,42101026302,PA,PHILADELPHIA
19138,42101026700,PA,PHILADELPHIA
19138,42091202401,PA,PHILADELPHIA
19138,42101026600,PA,PHILADELPHIA
19138,42101038900,PA,PHILADELPHIA
19138,42101025200,PA,PHILADELPHIA
19138,42101027700,PA,PHILADELPHIA
19138,42101026500,PA,PHILADELPHIA
19138,42101024900,PA,PHILADELPHIA
19138,42101024700,PA,PHILADELPHIA
19138,42101027901,PA,PHILADELPHIA
19138,42101024800,PA,PHILADELPHIA
19138,42101027902,PA,PHILADELPHIA
19139,42101009400,PA,PHILADELPHIA
19139,42101010500,PA,PHILADELPHIA
19139,42101980800,PA,PHILADELPHIA
19139,42101009500,PA,PHILADELPHIA
19139,42101008301,PA,PHILADELPHIA
19139,42101008400,PA,PHILADELPHIA
19139,42101008302,PA,PHILADELPHIA
19139,42101008701,PA,PHILADELPHIA
19139,42101008601,PA,PHILADELPHIA
19139,42101008602,PA,PHILADELPHIA
19139,42101010000,PA,PHILADELPHIA
19139,42101009600,PA,PHILADELPHIA
19139,42101009300,PA,PHILADELPHIA
19139,42101010300,PA,PHILADELPHIA
19139,42101009200,PA,PHILADELPHIA
19139,42101010200,PA,PHILADELPHIA
19139,42101010400,PA,PHILADELPHIA
19139,42101008500,PA,PHILADELPHIA
19140,42101019800,PA,PHILADELPHIA
19140,42101017100,PA,PHILADELPHIA
19140,42101028400,PA,PHILADELPHIA
19140,42101989300,PA,PHILADELPHIA
19140,42101028300,PA,PHILADELPHIA
19140,42101019700,PA,PHILADELPHIA
19140,42101020000,PA,PHILADELPHIA
19140,42101980500,PA,PHILADELPHIA
19140,42101038301,PA,PHILADELPHIA
19140,42101020200,PA,PHILADELPHIA
19140,42101020102,PA,PHILADELPHIA
19140,42101019900,PA,PHILADELPHIA
19140,42101017601,PA,PHILADELPHIA
19140,42101020500,PA,PHILADELPHIA
19140,42101028000,PA,PHILADELPHIA
19140,42101019502,PA,PHILADELPHIA
19140,42101020300,PA,PHILADELPHIA
19140,42101028700,PA,PHILADELPHIA
19140,42101020400,PA,PHILADELPHIA
19140,42101028100,PA,PHILADELPHIA
19140,42101020101,PA,PHILADELPHIA
19140,42101028800,PA,PHILADELPHIA
19140,42101019501,PA,PHILADELPHIA
19140,42101017300,PA,PHILADELPHIA
19140,42101017500,PA,PHILADELPHIA
19141,42101028200,PA,PHILADELPHIA
19141,42101027800,PA,PHILADELPHIA
19141,42101028000,PA,PHILADELPHIA
19141,42101027901,PA,PHILADELPHIA
19141,42101028300,PA,PHILADELPHIA
19141,42101027700,PA,PHILADELPHIA
19141,42101027902,PA,PHILADELPHIA
19141,42101026800,PA,PHILADELPHIA
19141,42101028400,PA,PHILADELPHIA
19141,42101028100,PA,PHILADELPHIA
19141,42101027000,PA,PHILADELPHIA
19141,42101027600,PA,PHILADELPHIA
19142,42101980901,PA,PHILADELPHIA
19142,42101006400,PA,PHILADELPHIA
19142,42101006700,PA,PHILADELPHIA
19142,42101006600,PA,PHILADELPHIA
19142,42101006300,PA,PHILADELPHIA
19142,42101006200,PA,PHILADELPHIA
19142,42101006000,PA,PHILADELPHIA
19142,42101006100,PA,PHILADELPHIA
19142,42101006500,PA,PHILADELPHIA
19142,42101005500,PA,PHILADELPHIA
19143,42101007300,PA,PHILADELPHIA
19143,42101007000,PA,PHILADELPHIA
19143,42101008400,PA,PHILADELPHIA
19143,42101007900,PA,PHILADELPHIA
19143,42101039100,PA,PHILADELPHIA
19143,42101008601,PA,PHILADELPHIA
19143,42101006600,PA,PHILADELPHIA
19143,42101008200,PA,PHILADELPHIA
19143,42101007101,PA,PHILADELPHIA
19143,42101007102,PA,PHILADELPHIA
19143,42101007400,PA,PHILADELPHIA
19143,42101008301,PA,PHILADELPHIA
19143,42101008101,PA,PHILADELPHIA
19143,42101008302,PA,PHILADELPHIA
19143,42101008500,PA,PHILADELPHIA
19143,42101007200,PA,PHILADELPHIA
19143,42101980901,PA,PHILADELPHIA
19143,42101007700,PA,PHILADELPHIA
19143,42101007800,PA,PHILADELPHIA
19143,42101008102,PA,PHILADELPHIA
19143,42101006500,PA,PHILADELPHIA
19143,42101008000,PA,PHILADELPHIA
19143,42101006700,PA,PHILADELPHIA
19144,42101038900,PA,PHILADELPHIA
19144,42101020500,PA,PHILADELPHIA
19144,42101028000,PA,PHILADELPHIA
19144,42101023700,PA,PHILADELPHIA
19144,42101025200,PA,PHILADELPHIA
19144,42101024300,PA,PHILADELPHIA
19144,42101024100,PA,PHILADELPHIA
19144,42101024700,PA,PHILADELPHIA
19144,42101020800,PA,PHILADELPHIA
19144,42101023800,PA,PHILADELPHIA
19144,42101027902,PA,PHILADELPHIA
19144,42101024000,PA,PHILADELPHIA
19144,42101023500,PA,PHILADELPHIA
19144,42101023900,PA,PHILADELPHIA
19144,42101023600,PA,PHILADELPHIA
19144,42101024800,PA,PHILADELPHIA
19144,42101024500,PA,PHILADELPHIA
19144,42101024200,PA,PHILADELPHIA
19144,42101980100,PA,PHILADELPHIA
19144,42101024600,PA,PHILADELPHIA
19144,42101024400,PA,PHILADELPHIA
19144,42101020600,PA,PHILADELPHIA
19145,42101003901,PA,PHILADELPHIA
19145,42101003702,PA,PHILADELPHIA
19145,42101003800,PA,PHILADELPHIA
19145,42101003300,PA,PHILADELPHIA
19145,42101980906,PA,PHILADELPHIA
19145,42101980600,PA,PHILADELPHIA
19145,42101980904,PA,PHILADELPHIA
19145,42101004002,PA,PHILADELPHIA
19145,42101037300,PA,PHILADELPHIA
19145,42101003902,PA,PHILADELPHIA
19145,42101003600,PA,PHILADELPHIA
19145,42101003701,PA,PHILADELPHIA
19145,42101980902,PA,PHILADELPHIA
19145,42101003200,PA,PHILADELPHIA
19145,42101980905,PA,PHILADELPHIA
19145,42101989200,PA,PHILADELPHIA
19145,42101980903,PA,PHILADELPHIA
19145,42101002900,PA,PHILADELPHIA
19145,42101004001,PA,PHILADELPHIA
19145,42101003002,PA,PHILADELPHIA
19145,42101003100,PA,PHILADELPHIA
19145,42101003001,PA,PHILADELPHIA
19146,42101002300,PA,PHILADELPHIA
19146,42101002900,PA,PHILADELPHIA
19146,42101001900,PA,PHILADELPHIA
19146,42101001203,PA,PHILADELPHIA
19146,42101002400,PA,PHILADELPHIA
19146,42101002200,PA,PHILADELPHIA
19146,42101001301,PA,PHILADELPHIA
19146,42101001204,PA,PHILADELPHIA
19146,42101001201,PA,PHILADELPHIA
19146,42101002000,PA,PHILADELPHIA
19146,42101001400,PA,PHILADELPHIA
19146,42101003002,PA,PHILADELPHIA
19146,42101980902,PA,PHILADELPHIA
19146,42101001500,PA,PHILADELPHIA
19146,42101003300,PA,PHILADELPHIA
19146,42101980903,PA,PHILADELPHIA
19146,42101001302,PA,PHILADELPHIA
19146,42101003100,PA,PHILADELPHIA
19146,42101001800,PA,PHILADELPHIA
19146,42101002100,PA,PHILADELPHIA
19146,42101003200,PA,PHILADELPHIA
19147,42101002500,PA,PHILADELPHIA
19147,42101036600,PA,PHILADELPHIA
19147,42101001800,PA,PHILADELPHIA
19147,42101001102,PA,PHILADELPHIA
19147,42101001500,PA,PHILADELPHIA
19147,42101002702,PA,PHILADELPHIA
19147,42101002802,PA,PHILADELPHIA
19147,42101002300,PA,PHILADELPHIA
19147,42101001700,PA,PHILADELPHIA
19147,42101001002,PA,PHILADELPHIA
19147,42101002400,PA,PHILADELPHIA
19147,42101002900,PA,PHILADELPHIA
19147,42101001101,PA,PHILADELPHIA
19147,42101001600,PA,PHILADELPHIA
19147,42101001001,PA,PHILADELPHIA
19147,42101002701,PA,PHILADELPHIA
19147,42101002801,PA,PHILADELPHIA
19148,42101004101,PA,PHILADELPHIA
19148,42101004202,PA,PHILADELPHIA
19148,42101004201,PA,PHILADELPHIA
19148,42101002801,PA,PHILADELPHIA
19148,42101980701,PA,PHILADELPHIA
19148,42101980702,PA,PHILADELPHIA
19148,42101037300,PA,PHILADELPHIA
19148,42101002702,PA,PHILADELPHIA
19148,42101004001,PA,PHILADELPHIA
19148,42101002802,PA,PHILADELPHIA
19148,42101004104,PA,PHILADELPHIA
19148,42101004002,PA,PHILADELPHIA
19148,42101002900,PA,PHILADELPHIA
19148,42101002701,PA,PHILADELPHIA
19148,42101980600,PA,PHILADELPHIA
19148,42101004103,PA,PHILADELPHIA
19148,42101037200,PA,PHILADELPHIA
19149,42101031700,PA,PHILADELPHIA
19149,42101031000,PA,PHILADELPHIA
19149,42101030900,PA,PHILADELPHIA
19149,42101031401,PA,PHILADELPHIA
19149,42101039002,PA,PHILADELPHIA
19149,42101033500,PA,PHILADELPHIA
19149,42101039001,PA,PHILADELPHIA
19149,42101033400,PA,PHILADELPHIA
19149,42101033200,PA,PHILADELPHIA
19149,42101033101,PA,PHILADELPHIA
19149,42101031300,PA,PHILADELPHIA
19149,42101031600,PA,PHILADELPHIA
19149,42101031502,PA,PHILADELPHIA
19149,42101031200,PA,PHILADELPHIA
19149,42101031402,PA,PHILADELPHIA
19149,42101031101,PA,PHILADELPHIA
19149,42101031501,PA,PHILADELPHIA
19149,42101031102,PA,PHILADELPHIA
19149,42101031800,PA,PHILADELPHIA
19150,42101026302,PA,PHILADELPHIA
19150,42101025400,PA,PHILADELPHIA
19150,42101026301,PA,PHILADELPHIA
19150,42101025600,PA,PHILADELPHIA
19150,42091202401,PA,PHILADELPHIA
19150,42101025900,PA,PHILADELPHIA
19150,42101026200,PA,PHILADELPHIA
19150,42101025800,PA,PHILADELPHIA
19150,42101038900,PA,PHILADELPHIA
19150,42091210500,PA,PHILADELPHIA
19150,42101026000,PA,PHILADELPHIA
19150,42101026100,PA,PHILADELPHIA
19150,42101026400,PA,PHILADELPHIA
19150,42101025500,PA,PHILADELPHIA
19151,42101011500,PA,PHILADELPHIA
19151,42101011400,PA,PHILADELPHIA
19151,42101009500,PA,PHILADELPHIA
19151,42101980800,PA,PHILADELPHIA
19151,42101011200,PA,PHILADELPHIA
19151,42101010100,PA,PHILADELPHIA
19151,42101010000,PA,PHILADELPHIA
19151,42101009600,PA,PHILADELPHIA
19151,42101009801,PA,PHILADELPHIA
19151,42101011300,PA,PHILADELPHIA
19151,42101037500,PA,PHILADELPHIA
19151,42101009802,PA,PHILADELPHIA
19152,42101033400,PA,PHILADELPHIA
19152,42101033200,PA,PHILADELPHIA
19152,42101033702,PA,PHILADELPHIA
19152,42101034702,PA,PHILADELPHIA
19152,42101033500,PA,PHILADELPHIA
19152,42101980200,PA,PHILADELPHIA
19152,42101033300,PA,PHILADELPHIA
19152,42101034701,PA,PHILADELPHIA
19152,42101033701,PA,PHILADELPHIA
19152,42101033600,PA,PHILADELPHIA
19153,42101980901,PA,PHILADELPHIA
19153,42101006000,PA,PHILADELPHIA
19153,42101005600,PA,PHILADELPHIA
19153,42101005500,PA,PHILADELPHIA
19153,42101005400,PA,PHILADELPHIA
19153,42101980400,PA,PHILADELPHIA
19153,42101006700,PA,PHILADELPHIA
19153,42045980000,PA,PHILADELPHIA
19154,42101980300,PA,PHILADELPHIA
19154,42101036202,PA,PHILADELPHIA
19154,42101036201,PA,PHILADELPHIA
19154,42101036203,PA,PHILADELPHIA
19154,42101036400,PA,PHILADELPHIA
19154,42101036301,PA,PHILADELPHIA
19154,42101036302,PA,PHILADELPHIA
19154,42101036303,PA,PHILADELPHIA
19154,42101036000,PA,PHILADELPHIA
19154,42101036100,PA,PHILADELPHIA
19160,42101989300,PA,PHILADELPHIA
19172,42101001001,PA,PHILADELPHIA
19176,42101980901,PA,PHILADELPHIA
19181,42101000101,PA,PHILADELPHIA
19192,42101000403,PA,PHILADELPHIA
